Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei,46920,13687,1112718,495715,33142,19910,170517,9254,132261,103682,2710,5709600,306578,198533,156657,465176,67456,74906,130418,61798,197610,189646,8220,64922,11682,32022,89166,128648,442349
Bulgaria,1802633,3854745,7688110,3227218,5303421,7155559,6734127,10938532,20317977,22978852,41456014,48956734,74118215,91436941,57595025,84625723,95440852,110049779,150444375,172741463,165544512,197128023,220831043,296494045,217139984,240980437,345428925,437254527,535987047
Burkina Faso,2618,8179,80389,104533,82880,59816,62534,20881,16919,29292,168650,21308,149381,9880,96991,52760,38727,48938,17670,148371,23945,3165,3353,92537,21098,32832,49692,17701,281023
Burundi,0,0,23129,0,55310,0,0,0,0,0,121952,70834,5751,69,266609,317246,10388,2666,0,13422,2674,2444,0,41992,5434,0,0,0,0
Cabo Verde,0,0,26820,74855,4386,3352,0,0,0,0,5844,147074,1806,4513,26108,393883,2925,3725,87448,138614,24242,24797,1372,26066,51420,179354,4180,25185,15934
Cambodia,5902,72374,1839,0,119933,193185,325360,409632,62081,107899,250082,652705,435483,47456,186311,98863,109770,920471,133180,388477,402555,1180898,1206773,3067958,5356611,9563256,13787802,34665296,63357653
Cameroon,56823,5972,24809,263407,1711,64347,75899,3693,41423,547140,522803,107274,177883,765498,592886,3845834,301125,726521,1034334,114042,238216,409168,1010957,731999,1529425,303567,944007,1214431,853293
Canada,2203140060,2754555064,3343493922,2845032045,2556859368,3166004772,2183480332,1507506464,1594503637,1889083468,2408504180,1940930867,2048772715,2573873662,1989663980,1550536000,1921648640,1708329081,1659532015,1471607318,1060473347,939421106,971804758,1116124687,1193826961,858894535,891040562,1121097473,848428710
Cayman Islands,8209,717859,0,52304,14613,1744968,29126,56652,1053017,508132,157633,242685,1249594,838514,858411,799843,622613,348225,78948,680007,1411390,1625684,1168247,969801,1455857,1989224,2846255,2440358,1282716
Central African Republic,4607,24946,44163,156395,7667,6936,88499,46669,2570,11550,13241,21626,168593,383701,927694,51578,1040,34049,31895,21112,64775,2120,10377,0,4968,56084,8672,3803,6928
Chad,1242,0,2163,1311,0,14749,24109,34771,0,0,48777,137341,60691,43548,33327,72470,6621,45369,6267,11775,76112,65495,49927,401374,70946,65781,3828,32659,49630
Chile,375763,353038,244077,438974,1584267,1127138,2868630,3781386,4328000,3639650,8097681,7184477,9154306,7652010,5446690,2458650,10240760,8352503,3397925,2118300,2065001,2731453,4179593,2312614,5379517,2318382,1897873,3142726,5267358
